Superpixel,Moyenne de B,Moyenne de G,Moyenne de R,Écart type de B,Écart type de G,Écart type de R
163,0.13764722222222223,0.17347222222222222,0.20616666666666666,3.1324237009563896,3.9148210757065454,4.63761322412796
166,0.32532777777777777,0.3654027777777778,0.3958861111111111,5.442851647726502,6.107273462283108,6.626561389860279
171,0.5470444444444444,0.6190944444444444,0.6337055555555555,8.4976757043367,9.597939875114585,9.827289698846062
172,0.31251111111111113,0.37333333333333335,0.3790027777777778,5.368821836896987,6.394983711228377,6.489803430077329
182,0.39741944444444444,0.4620194444444444,0.4734861111111111,6.83938874024577,7.928497947217485,8.130752480742473
196,0.5255694444444444,0.5600027777777777,0.5855305555555556,8.550155072247753,9.115580660474066,9.537337217010467
198,0.34928333333333333,0.36315833333333336,0.37320277777777777,5.843272583602216,6.083785546886181,6.263800338990472
199,0.8037944444444445,0.8871472222222222,0.9442694444444445,11.983485304635677,13.214566681616153,14.058948996443327
201,0.16510555555555556,0.17191944444444446,0.18171666666666667,3.237500946365423,3.353207723650946,3.5478132776548024
202,0.5211555555555556,0.5583944444444444,0.5874916666666666,8.833743839431438,9.399354651585858,9.865994666684621
211,0.26784722222222224,0.25135277777777776,0.2526583333333333,4.849199198370442,4.5487448944118345,4.572290927120057
213,0.118425,0.12443888888888889,0.12469722222222222,2.7334767172671417,2.8636444275415394,2.870668339228564
214,0.3394583333333333,0.3644972222222222,0.3837833333333333,6.521349871831819,6.999741272784966,7.375130455951046
215,0.4689638888888889,0.534725,0.5977972222222222,7.582286600556623,8.625860327930125,9.638345128402625
217,0.16669166666666665,0.17076944444444445,0.16988055555555556,3.439811848761716,3.5030100575747345,3.4795320625890755
218,0.1648361111111111,0.18524166666666667,0.19205277777777777,3.178912051985713,3.5735011578169944,3.7165615317771974
219,0.2713611111111111,0.3120805555555556,0.3527194444444444,5.490609340052171,6.300712715777209,7.111005757433169
221,0.3443583333333333,0.3655888888888889,0.36609166666666665,5.692401182914838,6.022832970159961,6.0382900175363705
229,0.12726666666666667,0.13513611111111112,0.13431666666666667,2.972686378798143,3.146154073415937,3.132050824369171
236,0.5823833333333334,0.6811777777777778,0.7700138888888889,7.647236006690156,8.92076181048502,10.06837944865809
238,0.4219833333333333,0.46950277777777777,0.4942666666666667,7.75041554870436,8.63040509719835,9.096999836093412
242,0.2190777777777778,0.2348388888888889,0.23188055555555556,4.495753482091826,4.810541159976037,4.75119526097802
247,0.28533055555555553,0.32818888888888886,0.3350944444444444,5.384840895893144,6.178052358320831,6.310674866358002
248,0.12472222222222222,0.12649444444444444,0.12925277777777777,2.9256974345276143,2.9637709163193486,3.025400220995724
249,0.7122333333333334,0.7296111111111111,0.7519333333333333,8.831766295665112,9.057410156193786,9.34712146040065
253,0.4069333333333333,0.45624722222222225,0.45169722222222225,5.88160217552438,6.575193881802074,6.508861067585877
264,0.6213638888888889,0.6396972222222223,0.6676083333333334,8.001030053537498,8.232802696632033,8.602474237229304
265,0.201925,0.25303333333333333,0.2578,4.218455636964643,5.284972586809717,5.392442782266501
266,0.17664166666666667,0.17790833333333333,0.1848,3.3801669007840776,3.398776129797677,3.5351974742895442
275,0.2818555555555556,0.3449583333333333,0.3579222222222222,5.418902789847257,6.622086854142503,6.875081616853121
277,0.266575,0.26750833333333335,0.279,5.127097022730032,5.14848282533002,5.380121136595773
279,0.2637111111111111,0.2703138888888889,0.28150833333333336,5.567000070343395,5.711172273255887,5.94665781505723
